Algorithm,Dataset,Avg Latency,Max Latency,Energy,Temp,F1,Device
PID Control,Kuala Lumpur,0.08742751199315535,0.09179888759281311,0.6994200959452428,51.55595360767562,0.9699434651898263,Raspberry Pi 5
PID Control,New York,0.08742751199315535,0.09179888759281311,0.6994200959452428,49.05595360767562,0.9699434651898263,Raspberry Pi 5
RBC (Rule-Based),Tokyo,0.014862864039969281,0.015606007241967746,0.11890291231975425,50.00951223298558,0.9999900914730632,Raspberry Pi 5
RBC (Rule-Based),Kuala Lumpur,0.014862864039969281,0.015606007241967746,0.11890291231975425,51.50951223298558,0.9999900914730632,Raspberry Pi 5
RBC (Rule-Based),New York,0.014862864039969281,0.015606007241967746,0.11890291231975425,49.00951223298558,0.9999900914730632,Raspberry Pi 5
DQN,Tokyo,1.1272648799331364,1.1836281239297932,9.018119039465091,50.721449523157204,0.9892562846689708,Raspberry Pi 5
DQN,Kuala Lumpur,1.1272648799331364,1.1836281239297932,9.018119039465091,52.221449523157204,0.9892562846689708,Raspberry Pi 5
DQN,New York,1.1272648799331364,1.1836281239297932,9.018119039465091,49.721449523157204,0.9892562846689708,Raspberry Pi 5
PPO (Standard),Tokyo,0.40758434396593657,0.4279635611642334,3.2606747517274925,50.2608539801382,0.9997283140173453,Raspberry Pi 5
PPO (Standard),Kuala Lumpur,0.40758434396593657,0.4279635611642334,3.2606747517274925,51.7608539801382,0.9997283140173453,Raspberry Pi 5
PPO (Standard),New York,0.40758434396593657,0.4279635611642334,3.2606747517274925,49.2608539801382,0.9997283140173453,Raspberry Pi 5
Hybrid LSTM-PPO,Tokyo,12.698488103918862,13.333412509114806,101.5879048313509,58.12703238650807,0.991570074048024,Raspberry Pi 5
Hybrid LSTM-PPO,Kuala Lumpur,12.698488103918862,13.333412509114806,101.5879048313509,59.62703238650807,0.991570074048024,Raspberry Pi 5
Hybrid LSTM-PPO,New York,12.698488103918862,13.333412509114806,101.5879048313509,57.12703238650807,0.991570074048024,Raspberry Pi 5
PID Control,Tokyo,0.20399752798402915,0.21419740438323062,0.8159901119361166,52.06527920895489,0.9698680905685063,Raspberry Pi 4
