Network,Device,Algorithm,Dataset,Net_Latency,HW_Latency,Total_Latency,Jitter,Throughput,Status
5G,ESP32-S3,DQN,New York,0.996331,23.4847,24.481,0.0953255,0.16832,PERFECT
5G,ESP32-S3,DQN,Tokyo,1.02503,23.4847,24.5097,0.103419,0.16832,PERFECT
5G,ESP32-S3,PPO (Standard),Kuala Lumpur,1.04916,8.49134,9.5405,0.0958135,0.05568,PERFECT
5G,ESP32-S3,PPO (Standard),New York,0.955046,8.49134,9.44639,0.102515,0.01472,PERFECT
5G,ESP32-S3,PPO (Standard),Tokyo,1.01355,8.49134,9.50489,0.103568,0.01472,PERFECT
5G,ESP32-S3,Hybrid LSTM-PPO,Kuala Lumpur,0.977351,264.552,265.529,0.0981779,0.7008,GOOD
5G,ESP32-S3,Hybrid LSTM-PPO,New York,0.958741,264.552,265.511,0.101643,0.65984,GOOD
5G,ESP32-S3,Hybrid LSTM-PPO,Tokyo,1.02119,264.552,265.573,0.100523,0.65984,GOOD
6G_Sim,Laptop (Ryzen 7),PID Control,Kuala Lumpur,0.0999084,0.00728563,0.107194,0.0103858,0.06592,PERFECT
6G_Sim,Laptop (Ryzen 7),PID Control,New York,0.10075,0.00728563,0.108036,0.010071,0.02496,PERFECT
6G_Sim,Laptop (Ryzen 7),PID Control,Tokyo,0.0967457,0.00728563,0.104031,0.0103002,0.02496,PERFECT
6G_Sim,Laptop (Ryzen 7),RBC (Rule-Based),Kuala Lumpur,0.098451,0.00123857,0.0996895,0.0101633,0.05568,PERFECT
6G_Sim,Laptop (Ryzen 7),RBC (Rule-Based),New York,0.103975,0.00123857,0.105214,0.00973237,0.01472,PERFECT
6G_Sim,Laptop (Ryzen 7),RBC (Rule-Based),Tokyo,0.102156,0.00123857,0.103395,0.0104054,0.01472,PERFECT
6G_Sim,Laptop (Ryzen 7),DQN,Kuala Lumpur,0.103537,0.0939387,0.197476,0.010093,0.20928,PERFECT
6G_Sim,Laptop (Ryzen 7),DQN,New York,0.100907,0.0939387,0.194846,0.0100023,0.16832,PERFECT
6G_Sim,Laptop (Ryzen 7),DQN,Tokyo,0.101381,0.0939387,0.195319,0.0104911,0.16832,PERFECT
6G_Sim,Laptop (Ryzen 7),PPO (Standard),Kuala Lumpur,0.0953417,0.0339654,0.129307,0.0102283,0.05568,PERFECT
6G_Sim,Laptop (Ryzen 7),PPO (Standard),New York,0.100465,0.0339654,0.13443,0.0102769,0.01472,PERFECT
6G_Sim,Laptop (Ryzen 7),PPO (Standard),Tokyo,0.104818,0.0339654,0.138783,0.0102301,0.01472,PERFECT
6G_Sim,Laptop (Ryzen 7),Hybrid LSTM-PPO,Kuala Lumpur,0.0959799,1.05821,1.15419,0.00993031,0.7008,PERFECT
6G_Sim,Laptop (Ryzen 7),Hybrid LSTM-PPO,New York,0.102016,1.05821,1.16022,0.00991269,0.65984,PERFECT
6G_Sim,Laptop (Ryzen 7),Hybrid LSTM-PPO,Tokyo,0.0960388,1.05821,1.15425,0.00985135,0.65984,PERFECT
6G_Sim,Raspberry Pi 5,PID Control,Kuala Lumpur,0.0991149,0.0874275,0.186542,0.0096078,0.06592,PERFECT
6G_Sim,Raspberry Pi 5,PID Control,New York,0.104685,0.0874275,0.192113,0.00961162,0.02496,PERFECT
6G_Sim,Raspberry Pi 5,PID Control,Tokyo,0.102425,0.0874275,0.189853,0.0102814,0.02496,PERFECT
6G_Sim,Raspberry Pi 5,RBC (Rule-Based),Kuala Lumpur,0.102015,0.0148629,0.116878,0.00992326,0.05568,PERFECT
6G_Sim,Raspberry Pi 5,RBC (Rule-Based),New York,0.104991,0.0148629,0.119854,0.00967703,0.01472,PERFECT
6G_Sim,Raspberry Pi 5,RBC (Rule-Based),Tokyo,0.0956461,0.0148629,0.110509,0.0100107,0.01472,PERFECT
6G_Sim,Raspberry Pi 5,DQN,Kuala Lumpur,0.0980153,1.12726,1.22528,0.0104424,0.20928,PERFECT
6G_Sim,Raspberry Pi 5,DQN,New York,0.101449,1.12726,1.22871,0.00961841,0.16832,PERFECT
6G_Sim,Raspberry Pi 5,DQN,Tokyo,0.096097,1.12726,1.22336,0.0101794,0.16832,PERFECT
6G_Sim,Raspberry Pi 5,PPO (Standard),Kuala Lumpur,0.104337,0.407584,0.511921,0.0103266,0.05568,PERFECT
6G_Sim,Raspberry Pi 5,PPO (Standard),New York,0.10391,0.407584,0.511494,0.00958642,0.01472,PERFECT
6G_Sim,Raspberry Pi 5,PPO (Standard),Tokyo,0.10147,0.407584,0.509055,0.00992209,0.01472,PERFECT
6G_Sim,Raspberry Pi 5,Hybrid LSTM-PPO,Kuala Lumpur,0.0983684,12.6985,12.7969,0.00956646,0.7008,GOOD
6G_Sim,Raspberry Pi 5,Hybrid LSTM-PPO,New York,0.0973548,12.6985,12.7958,0.0102525,0.65984,GOOD
6G_Sim,Raspberry Pi 5,Hybrid LSTM-PPO,Tokyo,0.103257,12.6985,12.8017,0.0102206,0.65984,GOOD
6G_Sim,Raspberry Pi 4,PID Control,Kuala Lumpur,0.102928,0.203998,0.306925,0.0100342,0.06592,PERFECT
6G_Sim,Raspberry Pi 4,PID Control,New York,0.0979553,0.203998,0.301953,0.00991825,0.02496,PERFECT
6G_Sim,Raspberry Pi 4,PID Control,Tokyo,0.0962114,0.203998,0.300209,0.0100602,0.02496,PERFECT
6G_Sim,Raspberry Pi 4,RBC (Rule-Based),Kuala Lumpur,0.0991901,0.03468,0.13387,0.0100952,0.05568,PERFECT
6G_Sim,Raspberry Pi 4,RBC (Rule-Based),New York,0.0963452,0.03468,0.131025,0.0101865,0.01472,PERFECT
6G_Sim,Raspberry Pi 4,RBC (Rule-Based),Tokyo,0.0972307,0.03468,0.131911,0.0102815,0.01472,PERFECT
6G_Sim,Raspberry Pi 4,DQN,Kuala Lumpur,0.0988347,2.63028,2.72912,0.00986145,0.20928,GOOD
6G_Sim,Raspberry Pi 4,DQN,New York,0.104927,2.63028,2.73521,0.00991256,0.16832,GOOD
6G_Sim,Raspberry Pi 4,DQN,Tokyo,0.0962442,2.63028,2.72653,0.0102791,0.16832,GOOD
6G_Sim,Raspberry Pi 4,PPO (Standard),Kuala Lumpur,0.10187,0.95103,1.0529,0.00954681,0.05568,PERFECT
6G_Sim,Raspberry Pi 4,PPO (Standard),New York,0.0988986,0.95103,1.04993,0.00966643,0.01472,PERFECT
6G_Sim,Raspberry Pi 4,PPO (Standard),Tokyo,0.101478,0.95103,1.05251,0.0104622,0.01472,PERFECT
6G_Sim,Raspberry Pi 4,Hybrid LSTM-PPO,Kuala Lumpur,0.0959056,29.6298,29.7257,0.0102854,0.7008,GOOD
6G_Sim,Raspberry Pi 4,Hybrid LSTM-PPO,New York,0.102224,29.6298,29.732,0.00960921,0.65984,GOOD
6G_Sim,Raspberry Pi 4,Hybrid LSTM-PPO,Tokyo,0.102258,29.6298,29.7321,0.00962032,0.65984,GOOD
6G_Sim,Nvidia Jetson,PID Control,Kuala Lumpur,0.0986265,0.0364281,0.135055,0.00972301,0.06592,PERFECT
6G_Sim,Nvidia Jetson,PID Control,New York,0.10073,0.0364281,0.137158,0.00987172,0.02496,PERFECT
6G_Sim,Nvidia Jetson,PID Control,Tokyo,0.0989559,0.0364281,0.135384,0.0104874,0.02496,PERFECT
6G_Sim,Nvidia Jetson,RBC (Rule-Based),Kuala Lumpur,0.0982103,0.00619286,0.104403,0.00950589,0.05568,PERFECT
6G_Sim,Nvidia Jetson,RBC (Rule-Based),New York,0.100393,0.00619286,0.106586,0.0101687,0.01472,PERFECT
6G_Sim,Nvidia Jetson,RBC (Rule-Based),Tokyo,0.101498,0.00619286,0.10769,0.00975953,0.01472,PERFECT
6G_Sim,Nvidia Jetson,DQN,Kuala Lumpur,0.102553,0.469694,0.572247,0.0102897,0.20928,PERFECT
6G_Sim,Nvidia Jetson,DQN,New York,0.097756,0.469694,0.56745,0.0101191,0.16832,PERFECT
6G_Sim,Nvidia Jetson,DQN,Tokyo,0.102434,0.469694,0.572128,0.010492,0.16832,PERFECT
6G_Sim,Nvidia Jetson,PPO (Standard),Kuala Lumpur,0.0975652,0.169827,0.267392,0.00967861,0.05568,PERFECT
6G_Sim,Nvidia Jetson,PPO (Standard),New York,0.0970162,0.169827,0.266843,0.0099525,0.01472,PERFECT
6G_Sim,Nvidia Jetson,PPO (Standard),Tokyo,0.101135,0.169827,0.270962,0.0104278,0.01472,PERFECT
6G_Sim,Nvidia Jetson,Hybrid LSTM-PPO,Kuala Lumpur,0.0994406,5.29104,5.39048,0.00960915,0.7008,GOOD
6G_Sim,Nvidia Jetson,Hybrid LSTM-PPO,New York,0.101699,5.29104,5.39274,0.0104189,0.65984,GOOD
6G_Sim,Nvidia Jetson,Hybrid LSTM-PPO,Tokyo,0.10192,5.29104,5.39296,0.00954233,0.65984,GOOD
6G_Sim,ESP32-S3,PID Control,Kuala Lumpur,0.0965681,1.82141,1.91797,0.00973877,0.06592,PERFECT
6G_Sim,ESP32-S3,PID Control,New York,0.103156,1.82141,1.92456,0.00962055,0.02496,PERFECT
6G_Sim,ESP32-S3,PID Control,Tokyo,0.101268,1.82141,1.92267,0.00970701,0.02496,PERFECT
6G_Sim,ESP32-S3,RBC (Rule-Based),Kuala Lumpur,0.0970866,0.309643,0.40673,0.00978289,0.05568,PERFECT
6G_Sim,ESP32-S3,RBC (Rule-Based),New York,0.0959576,0.309643,0.405601,0.0104784,0.01472,PERFECT
6G_Sim,ESP32-S3,RBC (Rule-Based),Tokyo,0.102356,0.309643,0.411999,0.0104846,0.01472,PERFECT
6G_Sim,ESP32-S3,DQN,Kuala Lumpur,0.100876,23.4847,23.5856,0.00969135,0.20928,PERFECT
6G_Sim,ESP32-S3,DQN,New York,0.0953553,23.4847,23.58,0.0102565,0.16832,PERFECT
6G_Sim,ESP32-S3,DQN,Tokyo,0.0992905,23.4847,23.584,0.0101387,0.16832,PERFECT
6G_Sim,ESP32-S3,PPO (Standard),Kuala Lumpur,0.100676,8.49134,8.59202,0.010456,0.05568,PERFECT
6G_Sim,ESP32-S3,PPO (Standard),New York,0.099957,8.49134,8.5913,0.0100184,0.01472,PERFECT
6G_Sim,ESP32-S3,PPO (Standard),Tokyo,0.0996638,8.49134,8.591,0.0098879,0.01472,PERFECT
6G_Sim,ESP32-S3,Hybrid LSTM-PPO,Kuala Lumpur,0.0984828,264.552,264.65,0.00953115,0.7008,GOOD
6G_Sim,ESP32-S3,Hybrid LSTM-PPO,New York,0.0977345,264.552,264.65,0.00967958,0.65984,GOOD
6G_Sim,ESP32-S3,Hybrid LSTM-PPO,Tokyo,0.095686,264.552,264.648,0.0096797,0.65984,GOOD
