Network,Device,Algorithm,Dataset,Net_Latency,HW_Latency,Total_Latency,Jitter,Throughput,Status
WiFi5,Laptop (Ryzen 7),Hybrid LSTM-PPO,Tokyo,4.99915,1.05821,6.05736,1.44899,0.65984,GOOD
WiFi5,Raspberry Pi 5,PID Control,Kuala Lumpur,4.96446,0.0874275,5.05189,1.44859,0.06592,GOOD
WiFi5,Raspberry Pi 5,PID Control,New York,5.19355,0.0874275,5.28097,1.55907,0.02496,GOOD
WiFi5,Raspberry Pi 5,PID Control,Tokyo,5.01089,0.0874275,5.09831,1.49012,0.02496,GOOD
WiFi5,Raspberry Pi 5,RBC (Rule-Based),Kuala Lumpur,5.23079,0.0148629,5.24565,1.44438,0.05568,GOOD
WiFi5,Raspberry Pi 5,RBC (Rule-Based),New York,5.15928,0.0148629,5.17414,1.42638,0.01472,GOOD
WiFi5,Raspberry Pi 5,RBC (Rule-Based),Tokyo,5.15032,0.0148629,5.16518,1.54995,0.01472,GOOD
WiFi5,Raspberry Pi 5,DQN,Kuala Lumpur,5.09653,1.12726,6.22379,1.47366,0.20928,GOOD
WiFi5,Raspberry Pi 5,DQN,New York,4.77638,1.12726,5.90364,1.50126,0.16832,GOOD
WiFi5,Raspberry Pi 5,DQN,Tokyo,4.88643,1.12726,6.01369,1.49381,0.16832,GOOD
WiFi5,Raspberry Pi 5,PPO (Standard),Kuala Lumpur,4.99679,0.407584,5.40437,1.52694,0.05568,GOOD
WiFi5,Raspberry Pi 5,PPO (Standard),New York,5.15746,0.407584,5.56505,1.55227,0.01472,GOOD
WiFi5,Raspberry Pi 5,PPO (Standard),Tokyo,4.89159,0.407584,5.29918,1.5716,0.01472,GOOD
WiFi5,Raspberry Pi 5,Hybrid LSTM-PPO,Kuala Lumpur,5.34,12.6985,18.0385,1.46048,0.7008,GOOD
WiFi5,Raspberry Pi 5,Hybrid LSTM-PPO,New York,4.86136,12.6985,17.5598,1.53757,0.65984,GOOD
WiFi5,Raspberry Pi 5,Hybrid LSTM-PPO,Tokyo,4.85293,12.6985,17.5514,1.44737,0.65984,GOOD
WiFi5,Raspberry Pi 4,PID Control,Kuala Lumpur,4.9325,0.203998,5.1365,1.46229,0.06592,GOOD
WiFi5,Raspberry Pi 4,PID Control,New York,4.93353,0.203998,5.13753,1.49891,0.02496,GOOD
WiFi5,Raspberry Pi 4,PID Control,Tokyo,5.22959,0.203998,5.43359,1.54277,0.02496,GOOD
WiFi5,Raspberry Pi 4,RBC (Rule-Based),Kuala Lumpur,4.86313,0.03468,4.89781,1.46952,0.05568,GOOD
WiFi5,Raspberry Pi 4,RBC (Rule-Based),New York,4.82824,0.03468,4.86292,1.4943,0.01472,GOOD
WiFi5,Raspberry Pi 4,RBC (Rule-Based),Tokyo,4.8621,0.03468,4.89678,1.54859,0.01472,GOOD
WiFi5,Raspberry Pi 4,DQN,Kuala Lumpur,5.21062,2.63028,7.8409,1.57249,0.20928,GOOD
